Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
30/10/2014 13:31:24.415,65,4.6,-3276.8,17,0.02,0.04,4.181,96,361.000,65535.000,255,0.000340,0.000120,0,65535,0,65535,0,0,-1.00,-0.92,-0.13,-0.06,-0.32,-0.26,29.5,531,255,-128,-128,6553.5,414,415,493
30/10/2014 13:31:25.415,0,4.5,-3276.8,17,0.01,0.04,4.181,96,317.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.98,-0.93,-0.15,-0.04,-0.32,-0.26,29.4,531,255,-128,-128,6553.5,412,414,494
30/10/2014 13:31:26.415,0,4.5,-3276.8,17,0.02,0.04,4.181,96,276.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-1.00,-0.93,-0.13,-0.04,-0.31,-0.25,29.4,531,255,-128,-128,6553.5,414,415,494
30/10/2014 13:31:27.415,0,4.3,-3276.8,18,0.02,0.03,4.181,96,241.000,65535.000,255,0.000800,0.000080,0,65535,0,65535,0,0,-1.01,-0.93,-0.13,-0.04,-0.32,-0.25,29.4,531,255,-128,-128,6553.5,413,415,495
30/10/2014 13:31:28.415,0,4.3,-3276.8,18,0.02,0.04,4.181,96,211.000,65535.000,255,0.000800,0.000080,0,65535,0,65535,0,0,-0.98,-0.92,-0.14,-0.04,-0.32,-0.25,29.4,531,255,-128,-128,6553.5,413,414,494
30/10/2014 13:31:29.415,0,4.5,-3276.8,18,0.01,0.06,4.180,96,186.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-1.01,-0.93,-0.15,-0.02,-0.32,-0.25,29.4,531,255,-128,-128,6553.5,414,415,494
30/10/2014 13:31:30.415,0,4.5,-3276.8,18,0.06,0.21,4.179,96,163.000,65535.000,255,0.000800,0.000420,0,65535,0,65535,0,0,-1.07,-0.85,-0.18,0.02,-0.53,-0.20,29.4,531,255,-128,-128,6553.5,414,418,486
30/10/2014 13:31:31.415,0,4.9,-3276.8,24,0.17,0.22,4.179,96,149.000,65535.000,255,0.000800,0.000480,0,65535,0,65535,0,1,-0.93,-0.84,-0.18,-0.10,-0.57,-0.45,29.4,528,255,-128,-128,6553.5,407,403,468
30/10/2014 13:31:32.415,0,4.9,-3276.8,27,0.09,0.18,4.179,96,132.000,65535.000,255,0.000800,0.000400,0,65535,0,65535,0,2,-0.93,-0.83,-0.18,-0.09,-0.62,-0.39,29.4,528,255,-128,-128,6553.5,414,414,494
30/10/2014 13:31:33.415,0,5.3,-3276.8,29,0.04,0.07,4.179,96,118.000,65535.000,255,0.000800,0.000340,0,65535,0,65535,0,3,-0.92,-0.85,-0.18,-0.12,-0.54,-0.43,29.4,528,255,-128,-128,6553.5,412,415,495
30/10/2014 13:31:34.415,60,5.3,-3276.8,30,0.03,0.04,4.179,96,108.000,65535.000,255,0.000800,0.000300,0,65535,0,65535,3,0,-0.92,-0.85,-0.18,-0.12,-0.54,-0.46,29.4,528,255,-128,-128,6553.5,414,414,493
30/10/2014 13:31:35.415,54,5.7,-3276.8,30,0.04,0.04,4.179,96,99.000,65535.000,255,0.001540,0.000600,0,65535,0,65535,3,1,-0.92,-0.85,-0.18,-0.12,-0.54,-0.46,29.4,528,255,-128,-128,6553.5,421,426,508
30/10/2014 13:31:36.415,52,5.7,-3276.8,22,0.23,0.42,4.179,96,91.000,65535.000,255,0.001540,0.000640,0,65535,0,65535,3,2,-1.00,-0.80,-0.18,0.00,-0.57,-0.03,29.4,528,255,-128,-128,6553.5,414,416,495
30/10/2014 13:31:37.415,51,6.0,-3276.8,21,0.05,0.42,4.179,96,82.000,65535.000,255,0.001540,0.000360,0,65535,0,65535,0,0,-1.07,-0.91,-0.18,0.00,-0.32,0.02,29.3,531,255,-128,-128,6553.5,414,414,494
30/10/2014 13:31:38.415,50,6.0,-3276.8,20,0.02,0.07,4.179,96,73.000,65535.000,255,0.001540,0.000220,0,65535,0,65535,0,0,-0.98,-0.93,-0.18,-0.09,-0.32,-0.26,29.3,531,255,-128,-128,6553.5,413,414,493
30/10/2014 13:31:39.415,50,6.6,-3276.8,19,0.02,0.04,4.179,96,69.000,65535.000,255,0.000640,0.000160,0,65535,0,65535,0,0,-0.98,-0.92,-0.18,-0.09,-0.33,-0.26,29.3,531,255,-128,-128,6553.5,413,414,493
30/10/2014 13:31:40.415,50,6.6,-3276.8,19,0.01,0.04,4.179,96,61.000,65535.000,255,0.000640,0.000120,0,65535,0,65535,0,0,-0.98,-0.93,-0.16,-0.09,-0.33,-0.26,29.3,531,255,-128,-128,6553.5,414,415,494
30/10/2014 13:31:41.415,50,7.4,-3276.8,19,0.01,0.03,4.179,96,56.000,65535.000,255,0.000540,0.000100,0,65535,0,65535,0,0,-0.98,-0.92,-0.18,-0.09,-0.33,-0.26,29.3,531,255,-128,-128,6553.5,413,414,494
30/10/2014 13:31:42.415,50,7.4,-3276.8,19,0.02,0.06,4.179,96,53.000,65535.000,255,0.000540,0.000100,0,65535,0,65535,0,0,-1.00,-0.92,-0.16,-0.07,-0.33,-0.26,29.3,531,255,-128,-128,6553.5,413,415,494
30/10/2014 13:31:43.415,50,8.5,-3276.8,19,0.01,0.03,4.178,96,48.000,65535.000,255,0.000480,0.000080,0,65535,0,65535,0,0,-0.98,-0.92,-0.16,-0.08,-0.33,-0.26,29.3,531,255,-128,-128,6553.5,412,415,494
30/10/2014 13:31:44.415,0,8.5,-3276.8,19,0.01,0.03,4.178,96,44.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.98,-0.92,-0.16,-0.08,-0.33,-0.27,29.3,531,255,-128,-128,6553.5,414,415,493
30/10/2014 13:31:45.415,0,9.1,-3276.8,19,0.02,0.03,4.178,96,46.000,65535.000,255,0.000800,0.000140,0,65535,0,65535,0,0,-0.98,-0.92,-0.18,-0.08,-0.33,-0.27,29.3,531,255,-128,-128,6553.5,413,415,494
30/10/2014 13:31:46.415,0,9.1,-3276.8,19,0.02,0.06,4.178,96,43.000,65535.000,255,0.000800,0.000220,0,65535,0,65535,0,0,-1.00,-0.92,-0.16,-0.07,-0.33,-0.25,29.2,528,255,-128,-128,6553.5,413,414,493
30/10/2014 13:31:47.415,0,10.0,-3276.8,19,0.02,0.04,4.178,96,41.000,65535.000,255,0.000800,0.000180,0,65535,0,65535,0,0,-0.98,-0.91,-0.18,-0.08,-0.36,-0.25,29.2,531,255,-128,-128,6553.5,411,412,481
30/10/2014 13:31:48.415,0,10.0,-3276.8,19,0.02,0.04,4.178,96,38.000,65535.000,255,0.000800,0.000160,0,65535,0,65535,0,0,-0.98,-0.92,-0.16,-0.08,-0.33,-0.25,29.2,531,255,-128,-128,6553.5,411,411,468
30/10/2014 13:31:49.415,0,10.8,-3276.8,19,0.01,0.06,4.178,96,37.000,65535.000,255,0.000800,0.000140,0,65535,0,65535,0,0,-1.00,-0.93,-0.18,-0.07,-0.33,-0.25,29.2,531,255,-128,-128,6553.5,412,414,493
30/10/2014 13:31:50.415,0,10.8,-3276.8,19,0.01,0.03,4.178,96,34.000,65535.000,255,0.000800,0.000120,0,65535,0,65535,0,0,-1.00,-0.92,-0.18,-0.09,-0.33,-0.27,29.2,531,255,-128,-128,6553.5,414,414,494
30/10/2014 13:31:51.415,0,11.2,-3276.8,19,0.01,0.04,4.178,96,33.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.98,-0.93,-0.18,-0.07,-0.33,-0.26,29.2,531,255,-128,-128,6553.5,419,424,498
30/10/2014 13:31:52.415,0,11.2,-3276.8,19,0.01,0.03,4.178,96,29.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.98,-0.92,-0.16,-0.09,-0.33,-0.26,29.2,531,255,-128,-128,6553.5,414,415,494
30/10/2014 13:31:53.415,0,11.9,-3276.8,19,0.01,0.03,4.178,96,29.000,65535.000,255,0.000800,0.000120,0,65535,0,65535,0,0,-0.98,-0.92,-0.16,-0.08,-0.32,-0.26,29.2,531,255,-128,-128,6553.5,413,414,493
30/10/2014 13:31:54.415,0,11.9,-3276.8,18,0.02,0.06,4.178,96,27.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.98,-0.93,-0.18,-0.07,-0.32,-0.24,29.2,531,255,-128,-128,6553.5,413,414,494
30/10/2014 13:31:55.415,0,12.5,-3276.8,18,0.02,0.06,4.178,96,29.000,65535.000,255,0.000800,0.000180,0,65535,0,65535,0,0,-1.01,-0.93,-0.16,-0.07,-0.30,-0.25,29.2,531,255,-128,-128,6553.5,413,415,493
